what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551776564423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551776588724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551776595330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777854085
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551777855277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777857432
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1551777876367
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551777891669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777893286
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551777893295
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551777915217
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551777926412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1551777940644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551777942862
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551777943771
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1551777944390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777944740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777955902
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551777955919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777957183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777957193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777957285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777964629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551777965856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777968304
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1551777981395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777981431
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551777981449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777984562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777988667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777989272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777990131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777990695
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551777996728
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551777998365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551777999668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778013521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778016590
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778017302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551778050753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551778063828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551778076670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778090813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778139860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778148915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778155834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551778176180
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551778178688
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1551778179574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778179934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778195060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778198137
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1551778211231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778211244
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778211279
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551778226371
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551778228051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778245605
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551778250286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778283335
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778283744
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778302890
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778320386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778322584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1551778336623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1551778336781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551778337282
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551778340327
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1551778341078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778341441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778356546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778360247
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1551778373307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778378945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778380665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778381775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778383081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778387483
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778387497
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551778389027
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551778390711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778403972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778410086
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778410137
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778418924
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778420514
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778469132
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778469148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778478722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1551778478727
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778504762
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778504779
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778514832
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778561014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778561031
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778564006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1551778564012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778571007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778577866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778584445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778638833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778650501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778653817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778654617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778800662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1551778803761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778805570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778845286
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778847140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778861758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778863144
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778865047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551778881595
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551778882656
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1551778883294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778883659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778899250
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778899286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551778900111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778903184
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1551778916080
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551778931004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551778932612
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551778932619
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551778954555
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551778962547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551778967102
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1551779015357
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1551779015758
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551779020345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779025346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779039068
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1551779044059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779049802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779052764
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779052782
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551779059100
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551779061203
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1551779083939
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1551779084010
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1551779084161
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1551779084408
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1551779084454
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551779084469
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1551779086439
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1551779086529
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1551779105849
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1551779113712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779122029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779122806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779124305
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1551779125895
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551779125914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779126774
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779126816
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1551779133260
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551779145013
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779145917
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1551779148276
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551779148291
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779150250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1551779186009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1551779199548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779293072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779298603
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779339541
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779342924
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779352454
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779352563
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779354818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1551779354821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1551779364263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779365021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551779393644
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551779402937
