what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126214842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126224006
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547126224030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126267475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126268237
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1547126283817
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547126284070
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547126284105
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1547126297278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126299828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126304649
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1547126305407
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1547126311149
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1547126313759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126318167
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1547126323613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126324872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126330062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126336168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126352557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126356391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126357742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126357848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126359279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126359343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547126360454
